sheet,indicator_code,indicator_title,geo_name,geo_code,geo_parent,section,metric,year,value,geo_version
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2010,22.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2012,17.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2013,16.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2014,13.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2015,11.3,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2016,9.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2020,11,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2021,10.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2022,10.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2023,9,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2024,6.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2006,3.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2008,2.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2010,2.3,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2012,1.3,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2013,1.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2014,1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2015,0.7,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2016,0.6,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2020,0.3,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2021,0.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2022,0.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2023,0.3,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đông Nam Bộ,,,Vùng,rate_percent,2024,0.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Cửu Long,,,Vùng,rate_percent,2006,13,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Cửu Long,,,Vùng,rate_percent,2008,11.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Cửu Long,,,Vùng,rate_percent,2010,12.6,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Cửu Long,,,Vùng,rate_percent,2012,10.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Cửu Long,,,Vùng,rate_percent,2013,9.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Cửu Long,,,Vùng,rate_percent,2014,7.9,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Cửu Long,,,Vùng,rate_percent,2015,6.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Cửu Long,,,Vùng,rate_percent,2016,5.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Cửu Long,,,Vùng,rate_percent,2020,4.2,old_63
